id,genre
1182,psychedelic trance
1183,psychobilly
1184,punk blues
1185,punk cabaret
1186,punk jazz
1187,punk rock
1188,punta
1189,punta rock
1190,qasidah
1191,qasidah modern
1192,qawwali
1193,quadrille
1194,quan ho
1195,queercore
1196,quiet storm
1197,rada
1198,raga
1199,raga rock
1200,ragga
1201,ragga jungle
1202,raggamuffin
1203,ragtime
1204,rai
1205,rake-and-scrape
1206,ramkbach
1207,ramvong
1208,ranchera
1209,rap
1210,rap metal
1211,rap rock
1212,rapcore
1213,rara
1214,rare groove
1215,rasiya
1216,rave
1217,raw rock
1218,raï
1219,rebetiko
1220,red dirt
1221,reel
1222,reggae
1223,reggae fusion
1224,reggae highlife
1225,reggaefusion
1226,reggaeton
1227,rekilaulu
1228,relax music
1229,religious
1230,rembetiko
1231,renaissance music
1232,requiem
1233,rhapsody
1234,rhyming spiritual
1235,rhythm & blues
1236,rhythm and blues
1237,ricercar
1238,riot grrrl
1239,rock
1240,rock and roll
1241,rock en español
1242,rock opera
1243,rockabilly
1244,rocksteady
1245,rococo
1246,romantic period in music
1247,rondeaux
1248,ronggeng
1249,roots reggae
1250,roots rock
1251,roots rock reggae
1252,rumba
1253,russian pop
1254,rímur
1255,sabar
1256,sacred harp
1257,sadcore
1258,saibara
1259,sakara
1260,salegy
1261,salsa
1262,salsa erotica
1263,salsa romantica
1264,saltarello
1265,samba
1266,samba-canção
1267,samba-reggae
1268,samba-rock
1269,sambai
1270,sanjo
1271,sato kagura
1272,sawt
1273,saya
1274,scat
1275,schlager
1276,schottisch
1277,schranz
1278,scottish baroque music
1279,screamo
1280,scrumpy and western
1281,sea shanty
1282,sean nós
1283,second viennese school
1284,sega music
1285,seggae
1286,seis
1287,semba
1288,sephardic music
1289,serialism
1290,set dance
1291,sevdalinka
1292,sevillana
1293,shabab
1294,shabad
1295,shalako
1296,shan'ge
1297,shango
1298,shape note
1299,shibuya-kei
1300,shidaiqu
1301,shima uta
1302,shock rock
1303,shoegaze
1304,shoegazer
1305,shoka
1306,shomyo
1307,show tune
1308,sica
1309,siguiriyas
1310,silat
1311,sinawi
1312,singer-songwriter
1313,situational
1314,ska
1315,ska punk
1316,skacore
1317,skald
1318,skate punk
1319,skiffle
1320,slack-key guitar
1321,slide
1322,slowcore
1323,sludge metal
1324,slängpolska
1325,smooth jazz
1326,soca
1327,soft rock
1328,son
1329,son montuno
